,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
225,17000000,1114,Andheri East,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
226,60100000,3585,Goregaon West,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
227,27900000,1404,Goregaon East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
228,31500000,1620,Goregaon East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
229,37500000,2780,Malad East,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
230,31000000,1672,Malad East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
231,21100000,1200,Malad East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
232,16500000,1200,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
233,16000000,1250,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
234,26000000,1840,Borivali East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
235,15200000,1170,Malad West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
236,2300000,310,Kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,33000000,1245,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
238,29000000,1153,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
239,11200000,573,Ulwe,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
240,9000000,1100,Ulwe,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
241,8500000,1135,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
242,9000000,1060,Kharghar,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
243,11500000,560,Malad West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,12100000,1150,Dahisar,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
245,11000000,1054,kandivali,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
246,27000000,1695,Goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
247,21600000,1579,Goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
248,30200000,2153,Goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
249,41200000,1872,Goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
250,30500000,1717,Goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
251,36700000,1675,Goregaon East,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
252,23800000,1672,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
253,20500000,1457,Malad East,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
254,5500000,425,Bhandup West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,9000000,560,thakur village kandivali east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,32500000,1200,Santacruz West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,8500000,575,Kanjurmarg,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
258,9000000,400,Borivali East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2500000,300,Kandivali East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5500000,400,I C Colony,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
261,8000000,650,Dahisar W,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
262,27500000,1600,Malad East,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
263,11500000,860,Marol,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
264,35900000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
265,42000000,1200,Lower Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
266,33100000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
267,106000000,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
268,101400000,2880,Lower Parel,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1
269,32500000,997,Jogeshwari East,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0
270,18500000,1038,Jogeshwari East,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
271,11000000,600,Malad West,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
272,9200000,400,Chembur Shell Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
273,50100000,2800,Central Avenue,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0
274,33000000,1400,Chembur East,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
275,34100000,1500,Diamond Market Road,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
276,21800000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
277,21200000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
278,3000000,545,Nalasopara West,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
279,11000000,585,raheja vihar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
280,17900000,1000,raheja vihar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
281,19500000,1050,Powai Lake,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
282,19500000,1014,MHADA Colony 20,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
283,16000000,900,Goregaon East,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0
284,11500000,600,Tolaram Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
285,10500000,700,Tolaram Colony,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
286,6400000,1550,Taloja,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1
287,90000000,5245,Thane West,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1
288,2100000,529,Vangani,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,3600000,530,Sector 20 Kharghar,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
290,9200000,1260,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
291,9000000,1260,Sector12 New Panvel,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
292,9200000,1150,Sector 17 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
293,5300000,690,Sector 17 Ulwe,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
294,15500000,1240,Sector9 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
295,9500000,1260,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
296,9000000,1240,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
